,Date,Contributors,Ocean,Province,Country,Location,Lat_locat_center,Lon_locat_center,Local_census,Length_m,Area_m2,Site,Lat_site,Lon_site,Depth_m,Mesozones2_30m,Trash_group,Trash_count,MPA,Managed_area,Site_split_MPA,Nearest_MPA_Lat,Nearest_MPA_Lon,Nearest_Market_Lat,Nearest_Market_Lon,Mismanaged.plastic.waste..kg.person.day.7,ID_transect,Complexity_3pt,Trash_per_m2,Meso_zone2,Meso_zone3,Depth_m_scaled,Dist_MPA,Dist_Market,Mismanaged_2010,Mismanaged_plastic_pop100Km_2010_Tons,Mismanaged_plastic_pop10Km_2010_Tons,Pop10Km,Pop100Km,Reefarea_pop100,Coral_reef_km2
26,10_16_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,6,20,40,cabeco_2_irmaos,-3.845641667,-32.44825833,42.4,MCE,fishing,0,yes,National Park,0,-3.845641667,-32.44825833,-3.846543,-32.413243,0.017,889,high,0,MCE,Upper,-0.033822344,-0.375487038,-0.691635908,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
27,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,7,20,40,corveta_ipiranga,-3.860597222,-32.46149167,54.5,MCE,fishing,0,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,890,low,0,MCE,Upper,0.304478834,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
28,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,8,20,40,corveta_ipiranga,-3.860597222,-32.46149167,54.5,MCE,fishing,0,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,891,low,0,MCE,Upper,0.304478834,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
29,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,9,20,40,corveta_ipiranga,-3.860597222,-32.46149167,51.5,MCE,fishing,0,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,892,high,0,MCE,Upper,0.220602509,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
30,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,10,20,40,corveta_ipiranga,-3.860597222,-32.46149167,51.5,MCE,fishing,0,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,893,intermediate,0,MCE,Upper,0.220602509,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
31,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,11,20,40,corveta_ipiranga,-3.860597222,-32.46149167,47,MCE,fishing,0,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,894,high,0,MCE,Upper,0.094788021,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
32,10_28_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,36,20,40,cabeco_2_irmaos,-3.845641667,-32.44825833,43.9,MCE,fishing,0,yes,National Park,0,-3.845641667,-32.44825833,-3.846543,-32.413243,0.017,919,high,0,MCE,Upper,0.008115819,-0.375487038,-0.691635908,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
33,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,37,20,40,corveta_ipiranga,-3.860597222,-32.46149167,56.1,MCE,fishing,3,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,920,low,0.075,MCE,Upper,0.349212874,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
34,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,38,20,40,corveta_ipiranga,-3.860597222,-32.46149167,57.6,MCE,fishing,2,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,921,low,0.05,MCE,Upper,0.391151036,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
35,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,39,20,40,corveta_ipiranga,-3.860597222,-32.46149167,51.5,MCE,fishing,0,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,922,high,0,MCE,Upper,0.220602509,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
36,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,40,20,40,corveta_ipiranga,-3.860597222,-32.46149167,51.5,MCE,fishing,2,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,923,high,0.05,MCE,Upper,0.220602509,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
37,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,41,20,40,corveta_ipiranga,-3.860597222,-32.46149167,45.5,MCE,fishing,2,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,924,intermediate,0.05,MCE,Upper,0.052849859,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
38,10_24_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,25,20,40,gregos_wall_(fishing_spot),-3.822105556,-32.41785,81.2,MCE,fishing,0,yes,National Park,0,-3.822105556,-32.41785,-3.846543,-32.413243,0.017,908,intermediate,0,MCE,Lower,1.050978126,-0.375487038,-0.704760986,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
39,10_24_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,26,20,40,gregos_wall_(fishing_spot),-3.822105556,-32.41785,81.2,MCE,fishing,0,yes,National Park,0,-3.822105556,-32.41785,-3.846543,-32.413243,0.017,909,intermediate,0,MCE,Lower,1.050978126,-0.375487038,-0.704760986,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
40,10_27_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,29,20,40,ponta_norte,-3.808983333,-32.36773889,84.2,MCE,fishing,0,yes,National Park,0,-3.808983333,-32.36773889,-3.846543,-32.413243,0.017,912,high,0,MCE,Lower,1.134854451,-0.375487038,-0.682549316,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
41,10_27_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,30,20,40,ponta_norte,-3.808983333,-32.36773889,81.8,MCE,fishing,0,yes,National Park,0,-3.808983333,-32.36773889,-3.846543,-32.413243,0.017,913,low,0,MCE,Lower,1.067753391,-0.375487038,-0.682549316,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
42,10_27_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,54,20,40,ponta_norte,-3.808983333,-32.36773889,84.8,MCE,fishing,0,yes,National Park,0,-3.808983333,-32.36773889,-3.846543,-32.413243,0.017,937,low,0,MCE,Lower,1.151629716,-0.375487038,-0.682549316,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
