"","Date","Contributors","Ocean","Province","Country","Location","Lat_locat_center","Lon_locat_center","Local_census","Length_m","Area_m2","Site","Lat_site","Lon_site","Depth_m","Mesozones2_30m","Trash_group","Trash_count","MPA","Managed_area","Site_split_MPA","Nearest_MPA_Lat","Nearest_MPA_Lon","Nearest_Market_Lat","Nearest_Market_Lon","Economic.status1","Coastal.population2","Waste.generation.rate..kg.person.day.3","X..Plastic.in.waste.stream4","X..Inadequately.managed.waste5","X..Littered.waste6","Waste.generation..kg.day.7","Plastic.waste.generation..kg.day.7","Inadequately.managed.plastic.waste..kg.day.7","Plastic.waste.littered...kg.day.7","Mismanaged.plastic.waste..kg.person.day.7","Mismanaged.plastic.waste.in.2025...tonnes.7","ID_transect","Complexity_3pt","Lat","Lon","Depth_m.1","Mesophotic.zones2","Managed_Area","Trash_per_m2","Meso_zone2","Meso_zone3","Coastline_km","Depth_m_scaled","Dist_MPA","Dist_Market","Mismanaged_2010","Mismanaged_pop100Km_2010","Mismanaged_plastic_pop10Km_2010_Tons","Pop10Km","Pop100Km","Reefarea_pop100","Coral_reef_Km2"
"21","10_16_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"1",20,40,"cabeco_2_irmaos",-3.845641667,-32.44825833,49.1,"MCE","fishing",0,"yes","National Park",0,-3.845641667,-32.44825833,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"884","high",NA,NA,NA,NA,NA,0,"MCE","Upper",NA,0.125552359382249,-0.350259138992775,-0.726393197681306,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"22","10_16_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"2",20,40,"cabeco_2_irmaos",-3.845641667,-32.44825833,49.1,"MCE","fishing",1,"yes","National Park",0,-3.845641667,-32.44825833,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"885","high",NA,NA,NA,NA,NA,0.025,"MCE","Upper",NA,0.125552359382249,-0.350259138992775,-0.726393197681306,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"23","10_16_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"3",20,40,"cabeco_2_irmaos",-3.845641667,-32.44825833,49.1,"MCE","fishing",0,"yes","National Park",0,-3.845641667,-32.44825833,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"886","high",NA,NA,NA,NA,NA,0,"MCE","Upper",NA,0.125552359382249,-0.350259138992775,-0.726393197681306,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"24","10_16_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"4",20,40,"cabeco_2_irmaos",-3.845641667,-32.44825833,49.1,"MCE","fishing",0,"yes","National Park",0,-3.845641667,-32.44825833,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"887","high",NA,NA,NA,NA,NA,0,"MCE","Upper",NA,0.125552359382249,-0.350259138992775,-0.726393197681306,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"25","10_16_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"5",20,40,"cabeco_2_irmaos",-3.845641667,-32.44825833,42.4,"MCE","fishing",0,"yes","National Park",0,-3.845641667,-32.44825833,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"888","high",NA,NA,NA,NA,NA,0,"MCE","Upper",NA,-0.057299007056832,-0.350259138992775,-0.726393197681306,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"26","10_16_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"6",20,40,"cabeco_2_irmaos",-3.845641667,-32.44825833,42.4,"MCE","fishing",0,"yes","National Park",0,-3.845641667,-32.44825833,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"889","high",NA,NA,NA,NA,NA,0,"MCE","Upper",NA,-0.057299007056832,-0.350259138992775,-0.726393197681306,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"27","10_20_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"7",20,40,"corveta_ipiranga",-3.860597222,-32.46149167,54.5,"MCE","fishing",0,"yes","National Park",0,-3.860597222,-32.46149167,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"890","low",NA,NA,NA,NA,NA,0,"MCE","Upper",NA,0.272925102482403,-0.350259138992775,-0.71514561965909,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"28","10_20_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"8",20,40,"corveta_ipiranga",-3.860597222,-32.46149167,54.5,"MCE","fishing",0,"yes","National Park",0,-3.860597222,-32.46149167,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"891","low",NA,NA,NA,NA,NA,0,"MCE","Upper",NA,0.272925102482403,-0.350259138992775,-0.71514561965909,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"29","10_20_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"9",20,40,"corveta_ipiranga",-3.860597222,-32.46149167,51.5,"MCE","fishing",0,"yes","National Park",0,-3.860597222,-32.46149167,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"892","high",NA,NA,NA,NA,NA,0,"MCE","Upper",NA,0.19105135631565,-0.350259138992775,-0.71514561965909,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"30","10_20_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"10",20,40,"corveta_ipiranga",-3.860597222,-32.46149167,51.5,"MCE","fishing",0,"yes","National Park",0,-3.860597222,-32.46149167,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"893","intermediate",NA,NA,NA,NA,NA,0,"MCE","Upper",NA,0.19105135631565,-0.350259138992775,-0.71514561965909,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
